#,Class,Status,Time
'300','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 06:01:37.212703'
'301','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 06:03:27.881915'
'302','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 06:05:18.495608'
'303','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 06:07:09.246460'
'304','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 06:08:59.866418'
'305','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 06:10:50.547123'
'306','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 06:12:41.160034'
'307','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 06:14:31.824091'
'308','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 06:16:22.461150'
'309','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 06:18:13.146057'
'310','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 06:20:03.774172'
'311','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 06:21:54.415562'
'312','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 06:23:45.262919'
'313','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 06:25:35.948254'
'314','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 06:27:26.582615'
'315','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 06:29:17.187287'
'316','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 06:31:07.846040'
'317','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 06:32:58.470324'
'318','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 06:34:49.069211'
'319','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 06:36:39.695002'
'320','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 06:38:30.329783'
'321','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 06:40:20.953152'
'322','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 06:42:11.593448'
'323','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 06:44:02.241963'
'324','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 06:45:52.891675'
'325','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 06:47:43.774495'
'326','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 06:49:34.364318'
'327','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 06:51:25.112542'
'328','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 06:53:15.738208'
'329','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 06:55:06.325191'
'330','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 06:56:56.927505'
'331','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 06:58:47.651804'
'332','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 07:00:38.289748'
